company_name,dividend_type,dividend_amount,announcement_date,books_closure_date,payment_date
Kapchorua Tea Kenya Plc,Final Dividend,Kes.25.00,23-Aug-2023,23-Aug-2023,4-Sep-2023
Sasini Plc,Interim Dividend,Kes.1.00,10-May-2023,02-Jun-2023,03-Jul-2023
BK Group Plc,Final Dividend,Frw.32.5,31-Mar-2023,22-Jun-2023,01-Jul-2023
Nation Media Group Plc,Final Dividend,Kes.1.50,06-Apr-2023,16-Jun-2023,
Crown Paints Kenya Plc,Final Dividend,Kes.4.00,28-Jun-2023,28-Jun-2023,14-Aug-2023
Bamburi Cement Plc,Final Dividend,Kes.0.75,27-May-2023,27-May-2023,27-Jul-2023
B.O.C Kenya Plc;,Final Dividend,Kes.4.45,31-May-2023,31-May-2023,
Nairobi Securities Exchange Plc,Final Dividend,Kes.0.20,31-May-2023,31-May-2023,31-Jul-2023
TotalEnergies Marketing Kenya Plc,Final Dividend,Kes.1.31,15-Jun-2023,15-Jun-2023,31-Jul-2023
Jubilee Holdings Limited,Final Dividend,Kes.8.00,27-Mar-2023,14-Jun-2023,
Jubilee Holdings Limited,Special Dividend,Kes.3.00,27-Mar-2023,14-Jun-2023,
ILAM FAHARI I-REIT,,,29-Mar-2023,06-Apr-2023,
I&M Group Plc,Final Dividend,Kes.2.25,20-Apr-2023,20-Apr-2023,25-May-2023
NCBA Group Plc,Final Dividend,Kes.2.25,28-Apr-2023,28-Apr-2023,31-May-2023
Kenya Re Insurance Corporation Ltd,Final Dividend,Kes.0.20,16-Jun-2023,16-Jun-2023,28-Jul-2023
Equity Group Holdings Plc,Final Dividend,Kes.4.00,19-May-2023,19-May-2023,30-Jun-2023
Diamond Trust Bank Kenya Ltd,Final Dividend,Kes.5.00,28-Mar-2023,12-May-2023,
Umeme Limited,Final Dividend,Ushs.63.9,27-Jun-2023,27-Jun-2023,
Limuru Tea PLC,Final Dividend,Kes.2.50,14-Apr-2023,14-Apr-2023,
Kakuzi Plc,Final Dividend,Kes.24.00,31-May-2023,31-May-2023,15-Jun-2023
CIC Insurance Group Plc,Final Dividend,Kes.0.13,08-May-2023,08-May-2023,26-May-2023
The Co-operative Bank of Kenya Ltd,Final Dividend,Kes.1.50,24-May-2023,24-May-2023,09-Jun-2023
KCB Group Plc,Final Dividend,Kes.1.00,06-Apr-2023,06-Apr-2023,26-May-2023
ABSA Bank Kenya Plc,Final Dividend,Kes.1.15,28-Apr-2023,28-Apr-2023,25-May-2023
Standard Chartered Bank Kenya Plc,Final Dividend,Kes.16.00,14-Mar-2023,21-Apr-2023,25-May-2023
Stanbic Holdings Plc,Final Dividend,Kes.12.60,09-Mar-2023,19-May-2023,
Safaricom,Interim Dividend,Kes.0.58,28-Feb-2023,15-Mar-2023,31-Mar-2023
B.A.T Kenya Plc,Final Dividend,Kes.52.00,17-Feb-2023,26-May-2023,15-Jun-2023
East African Breweries Plc,Interim Dividend,Kes.3.75,27-Jan-2023,16-Feb-2023,28-Apr-2023
Car & General,Final Dividend,Kes.0.80,26-Jan-2023,24-Feb-2023,23-Mar-2023
KenGen Plc,Final Dividend,Kes.0.20,30-Nov-2022,26-Jan-2023,30-Mar-2023
TransCentury Plc,Rights Issue,,21-Feb-2023,17-Mar-2023,
KCB Group Plc,Dividend,Kes.1.00,16-Nov-2022,08-Dec-2022,13-Jan-2023
Carbacid Investment Plc,Final Dividend,Kes.1.70,01-Nov-2022,25-Nov-2022,16-Dec-2022
Jubilee Holdings Ltd,Interim Dividend,Kes.1.00,09-Sep-2022,09-Sep-2022,11-Oct-2022
B.O.C Kenya Plc,Interim Dividend,Kes.1.60,29-Aug-2022,30-Sep-2022,22-Oct-2022
East African Breweries Plc,Final Dividend,Kes.7.25,15-Sep-2022,15-Sep-2022,30-Oct-2022
Centum Investment Co Plc,Final Dividend,Kes.0.587,,,
BAT Kenya Plc,Interim Dividend,Kes.5.00,12-Aug-2022,12-Aug-2022,16-Sep-2022
Williamson Tea Kenya Plc,Final Dividend,Kes.20.00,29-Jul-2022,29-Jul-2022,
Kapchorua Tea Kenya Plc,Final Dividend,Kes.10.00,29-Jul-2022,29-Jul-2022,
Safaricom Plc,Final Dividend,Kes.0.75,29-Jul-2022,29-Jul-2022,31-Aug-2022
Crown Paints Kenya Plc,Final Dividend,Kes.4.00,28-Jun-2022,28-Jun-2022,15-Aug-2022
Bamburi Cement Ltd,Final Dividend,Kes.3.58,26-May-2022,26-May-2022,26-Jul-2022
BOC Kenya Plc,Final Dividend,Kes.2.90,27-May-2022,27-May-2022,19-Jul-2022
Nation Media Group Plc,Final Dividend,Kes.1.50,16-Jun-2022,16-Jun-2022,29-Jul-2022
TotalEnergies Marketing Kenya Plc,Final Dividend,Kes.1.31,30-Jun-2022,30-Jun-2022,31-Jul-2022
Jubilee Holdings Ltd,Special Dividend,Kes.5.00,22-Jun-2022,22-Jun-2022,25-Jul-2022
Jubilee Holdings Ltd,Final Dividend,Kes.8.00,22-Jun-2022,22-Jun-2022,25-Jul-2022
Kenya Re Insurance Corporation Ltd,Final Dividend,Kes.0.10,17-Jun-2022,17-Jun-2022,29-Jul-2022
BK Group Plc,Final Dividend,FRw.28.7,22-Jun-2022,22-Jun-2022,01-Jul-2022
ILAM FAHARI I-REIT,Final Dividend,Kes.0.50,08-Apr-2022,08-Apr-2022,30-Apr-2022
I&M Group Plc,Final Dividend,Kes.1.50,21-Apr-2022,21-Apr-2022,26-May-2022
Nairobi Securities Exchange Plc,Final Dividend,Kes.0.40,03-Jun-2022,03-Jun-2022,15-Jul-2022
Nairobi Securities Exchange Plc,Special Dividend,Kes.0.50,03-Jun-2022,03-Jun-2022,15-Jul-2022
Umeme Ltd,Final Dividend,Ushs.54.10,24-Jun-2022,24-Jun-2022,22-Jul-2022
Diamond Trust Bank Kenya Ltd,Final Dividend,Kes.3.00,,,
NCBA Group Plc,Final Dividend,Kes.2.25,29-Apr-2022,29-Apr-2022,05-May-2022
Kakuzi Plc,Final Dividend,Kes.22.00,31-May-2022,31-May-2022,30-Jun-2022
Equity Group Holdings Plc,Final Dividend,Kes.3.00,20-May-2022,20-May-2022,30-Jun-2022
The Co-operative Bank of Kenya Ltd,Final Dividend,Kes.1.00,30-May-2022,30-May-2022,17-Jun-2022
KCB Group Plc,Final Dividend,Kes.2.00,25-Apr-2022,25-Apr-2022,
ABSA Bank Kenya Plc,Final Dividend,Kes.1.10,25-Apr-2022,25-Apr-2022,26-May-2022
Standard Chartered Bank Kenya Ltd,Final Dividend,Kes.14.00,27-Apr-2022,27-Apr-2022,25-May-2022
Stanbic Holdings Plc,Final Dividend,Kes.7.30,03-Mar-2022,20-May-2022,
Safaricom Plc,Interim Dividend,Kes.0.64,25-Feb-2022,17-Mar-2022,31-Mar-2022
British American Tobacco Kenya Plc,Final Dividend,Kes.50.00,18-Feb-2022,22-Apr-2022,24-May-2022
Sasini Plc,Final Dividend,Kes.0.50,11-Jan-2022,,15-Mar-2022
Car & General (K) Ltd,Final Dividend,Kes.3.20,06-Jan-2022,,24-Mar-2022
Car & General (K) Ltd,,,06-Jan-2022,24-Mar-2022,
KenGen Co. Plc,Final Dividend,Kes.0.30,01-Nov-2021,,10-Feb-2022
