page,company_name,details_text
10,Kenya Re Insurance,Kenya Re Insurance Corporation Ltd; announced a Final Dividend of Kes.0.30; Books Closure 25-Jun-2024; Payment Date; 9-Aug-2024;
10,Jubilee Holdings Limited,Announced a Special Dividend of Kes.2.30 on 30-May-2024; Books Closure 25-Jun-2024; Payment date 25-Jul-2024.
10,Jubilee Holdings Limited,Announced a Final Dividend of Kes.10.00 alongside a special dividend of Kes.2.30 per share on 30-May-2024; Books Closure 25-Jun-2024; Payment 25-Jul-2024.
10,BK Group Plc,BK Group Plc ;KE5000008986; announced an Final Dividend of FRw.24.18 on 22-May-2024; Books Closure 14-Jun-2024; Payment Date;1-Jul-2024.
10,Laptrust Imara I-REIT,Announced a First & Final Distribution of Kes. 0.57 on 21-May-2024; Books Closure and Payment date; subject to approval.
10,CIC Insurance Group Plc,CIC Insurance Group Plc; announced a First & Final Dividend of Kes.0.13; Books Closure 04-Jun-2024; Payment 08-Jul-2024.
10,Safaricom Plc,Announced a Final Dividend of Kes.0.65 on 09-May-2024; Books Closure 31-Jul-2024; Payment 31-Aug-2024.
11,BOC Kenya Plc,BOC Kenya Plc; announced a Final Dividend of Kes.6.05; Books Closure 31-May-2024; Payment 21-Jul-2024.
11,TotalEnergies Marketing Kenya Plc,Announced a First & Final Dividend of Kes.1.92; Books Closure 27-Jun-2024; Payment on 31-Jul-2024.
11,Liberty Kenya Holdings Plc,Liberty Kenya Holdings Plc; announced a First & Final Dividend of Kes.0.373; Books Closure to be 14-Jun-2024; Payment to be 24-Aug-2024.
11,Bamburi Cement Plc,Bamburi Cement Plc; announced a First & Final Dividend of Kes.5.47; Books Closure 24-May-2024; Payment 25-Jul-2024.
11,NCBA Group Plc,Announced Final Dividend of Kes.3.00 on 27-Mar-2024; Books Closure 30-Apr-2024; Payment Date; 29-May-2024
11,Nairobi Securities Exchange Plc,Nairobi Securities Exchange Announced a First & Final Dividend of Kes.0.16 on 02-Apr-2024; Books Closure 30-May-2024; Payment Date; 31-Jul-2024
11,Diamond Trust Bank Kenya Ltd,Announced a Final Dividend of Kes.6.00 on 27-Mar-2024; Books Closure 24-May-2024; Payment Date; 28-Jun-2024
